Title,Brand,Price,Discount,Stock Status,Rating,Social Proof,URL
Canon imageCLASS LBP6030w Wireless Laser Printer,"Visit the store, Canon    Canon   Visit the store",Discount not found,"13,499",Stock info not found,Rating not found,,https://www.amazon.in/Canon-USA-LBP6030W-Monochrome-Printer/dp/B00K5UZO0Q
"HP Laserjet Tank 1005 Print+Copy+Scan, Lowest Cost/Page - B&W Prints, Easy 15 Sec Toner Refill, Smart Guided Buttons, Best for Business",Visit the HP Store,"₹28,500","17,849",Only 1 left in stock.,3.6  3.6 out of 5 stars  (69),,https://www.amazon.in/HP-Laserjet-Tank-1005-Printer/dp/B09T3M8Q27
"HP Ink Advantage 4178 Wireless Color, Monochrome Home Inkjet Printers, Automatic Document Feeder, Co",Visit the HP Store,Discount not found,Price not found,Stock info not found,4.0  4.0 out of 5 stars  (1),,https://www.amazon.in/HP-Advantage-Automatic-Tri-Color-Cartridge/dp/B0BBKCPHYB
Brother Ptouch PT-D210 Label Printer,Visit the Brother Store,"₹12,990","8,000",Only 1 left in stock.,4.1  4.1 out of 5 stars,,https://www.amazon.in/Brother-Ptouch-PT-D210-Label-Machine/dp/B0892TVVQ5
TSC TE 244 Barcode Printer with One Label Roll and One Wax Ribbon Free,Visit the TSC Store,"₹19,999","13,900",In stock,3.5  3.5 out of 5 stars  (14),,https://www.amazon.in/TSC-TE-244-Barcode-Printer/dp/B09M8ML2T1
"M1005 Scanner Top Cover, Laser Jet M1005 CCD Cover CB376-60105 Imported",,₹799,680,In stock,3.9  3.9 out of 5 stars  (8),,https://www.amazon.in/M1005-Scanner-Top-Cover-CB376-60105/dp/B0C2KBVQ6P
Canon imageClass MF272dw All in One Monochrome WiFi 29ppm Laser Printer with Duplex,Visit the Canon Store,"₹30,500","22,899",Only 1 left in stock.,3.5  3.5 out of 5 stars,,https://www.amazon.in/Canon-imageClass-MF272dw-Monochrome-Printer/dp/B0C4NVVMLM
"Epson EcoTank L15150 Print, Scan, Copy, Fax, ADF, Auto Duplex,WiFi,Network A3 Printer, Black, Medium",Visit the Epson Store,Discount not found,"25,499",Stock info not found,4.0  4.0 out of 5 stars  (33),,https://www.amazon.in/Epson-EcoTank-L15150-Duplex-Printer/dp/B08X4CB3YC
"HP Ink Advantage 2778 Wireless Printer, Copy, Scan, Dual Band WiFi, Bluetooth, USB, Simple Setup SMA",Visit the HP Store,"₹9,626","19,499",Only 2 left in stock.,3.9  3.9 out of 5 stars  (75),,https://www.amazon.in/HP-2778-Advantage-Wireless-Printer/dp/B08KG9DT6F
"HP Colour Laser 150nw Wireless Color Laser Printer with Built-in Ethernet and WiFi-Direct, Smallest Color Laser in its Class",Visit the HP Store,"₹38,631","33,477",In stock,"3.8  3.8 out of 5 stars  (2,135)",,https://www.amazon.in/HP-Colour-Laser-Wireless-Printer/dp/B07R99FQ91
TVS ELECTRONICS RP-45 Shoppe POS Dot Matrix Printer | Faster Printing Speed | 4-in 1 Connectivity | Compact & User-Friendly,"Visit the store, TVS ELECTRONICS    TVS ELECTRONICS   Visit the store","₹14,495","10,192",Only 1 left in stock.,Rating not found,,https://www.amazon.in/TVS-ELECTRONICS-RP-45-Connectivity-User-Friendly/dp/B00HYUKLBM
"Original Hoin 58mm Portable Rechargeable Thermal Printer. Bluetooth + USB Interface, with Charger","Visit the store, HOIN    HOIN   Visit the store","₹3,000","1,999",In stock,Rating not found,,https://www.amazon.in/Portable-Rechargeable-Printer-Bluetooth-Interface/dp/B09YLR47WM
"LENVII Thermal Shipping Label Printer 4×6"" Label Sticker Printer | 203DPI 127mm/s Printing Speed Thermal Barcode Printer | Compatible with Windows,Mac | Use for Amazon,FK,UPS,DHL,FedEx Shipping Label",Visit the LENVII Store,"₹19,879","9,999",In stock,3.6  3.6 out of 5 stars,,https://www.amazon.in/LENVII-LV-1200-Thermal-Printer-Printer-Monochrome-Label/dp/B09JNQYBJK
"(Refurbished) Brother DCP-T820DW All-in One Ink Tank Refill System Printer with Wi-Fi and Auto Duplex Printing, Black, Medium",Visit the Amazon Renewed Store,Discount not found,Price not found,Stock info not found,3.3  3.3 out of 5 stars  (6),,https://www.amazon.in/Renewed-Brother-DCP-T820DW-Printer-Printing/dp/B0BFL971X9
HP Ink Tank 316 All-in-one Colour Printer with Upto 7500 Black and 8000 Colour Pages Included in The,Visit the HP Store,Discount not found,729,Stock info not found,Rating not found,,https://www.amazon.in/HP-Capacity-Borderless-Printing-Cartridge/dp/B0BK8LXWQ1
Dotpot Laserjet/PHOTOCOPIER Grease for All Laser Printers,"Visit the store, Dotpot    Dotpot   Visit the store",Discount not found,215,Stock info not found,Rating not found,,https://www.amazon.in/Dotpot-Laserjet-PHOTOCOPIER-Grease-Printers/dp/B09DL5VQ44
Brother MFC L2701DW Multi-Function Monochrome Laser Printer with Auto Duplex Printing & Wi-Fi,Visit the Brother Store,"₹29,999","21,235",Only 1 left in stock.,3.8  3.8 out of 5 stars  (119),,https://www.amazon.in/Brother-Solutions-MFC-L2701DW-Multifunction/dp/B00VUWJVFW
PeriPeri PeriPage A6 Mini Thermal Printer (1Year Warranty) Inkless Bluetooth Pocket Printer for Print Picture List Memo Tags Barcode Receipt Labels. (White),"Visit the store, PeriPeri    PeriPeri   Visit the store","₹4,499","2,299",In stock,Rating not found,,https://www.amazon.in/PeriPeri-PeriPage-A6-Warranty-Bluetooth/dp/B0C8HX597K
TSC TTP 244 PRO Barcode Printer 203 DPI Desktop Thermal Transfer Label Bar Code Printer,Visit the TSC Store,"₹18,000","14,100",In stock,3.9  3.9 out of 5 stars  (60),,https://www.amazon.in/TSC-TTP-244-Desktop-Barcode-Printer/dp/B07PZCKCXZ
"Canon imageCLASS MF274dn 4-in-1 (Print, Scan, Copy, Fax) Monochrome Laser Printer with Auto Duplex Printing for Home/Office","Visit the store, Canon    Canon   Visit the store","₹32,995","23,999",In stock,Rating not found,,https://www.amazon.in/Canon-imageCLASS-MF274dn-Monochrome-Printing/dp/B0CG9DWGWQ
"TSC Ttp 244 Pro Barcode Monochrome Wired Home Inkjet Printers 203 Dpi Desktop Thermal Transfer Label Bar Code, Black",Visit the TSC Store,"₹20,000","13,699",In stock,3.8  3.8 out of 5 stars  (70),,https://www.amazon.in/TSC-TTP-244-Barcode-Printer/dp/B07RHFCMKN
Lapcare LPC278A Toner Cartridge,Visit the Lapcare Store,"₹1,597",468,In stock,3.7  3.7 out of 5 stars,,https://www.amazon.in/Lapcare-LPC278A-Toner-Cartridge/dp/B01KC1ZDMQ
Pantum M6518 Monochrome Laser Multifunction | Black,,"₹18,990","14,980",In stock,3.7  3.7 out of 5 stars  (23),,https://www.amazon.in/Pantum-M6518-Monochrome-Laser-Multifunction/dp/B09MRR8BS2
Motor Gear Pully 5Pc Pack compatiable for HP Laserjet 1020 2900 M1005,,Discount not found,274,Stock info not found,4.0  4.0 out of 5 stars  (57),,https://www.amazon.in/CPS-Motor-Pully-compatiable-Laserjet/dp/B08L4TLMPG
CPS ADF Hinges for Sam CLX3170 3175 3185 3400 3401 3405 3406 SCX-4321ns SCX-4521nf SCX-4021 2876 2626,,Discount not found,745,Stock info not found,3.7  3.7 out of 5 stars  (34),,https://www.amazon.in/CPS-CLX3170-SCX-4321ns-SCX-4521nf-SCX-4021/dp/B08KF6MTRQ
Original HOIN 58mm Thermal Print Mechanism/Head for 58mm Thermal Printers. Compatible with Hoin/Everycom/ATPOS & all 58mm thermal printers.,"Visit the store, HOIN    HOIN   Visit the store",₹999,898,In stock,Rating not found,,https://www.amazon.in/58mm-Thermal-Print-Head-Printers/dp/B0966G9QRG
PANTUM P2518 Single funtion Mono Laser Printer 22PPM,,Discount not found,Price not found,Stock info not found,4.1  4.1 out of 5 stars,,https://www.amazon.in/PANTUM-P2518-Single-funtion-Printer/dp/B09VDDJXFK
Fujifilm Instax Mini Link 2 Starter Kit - Space Blue,Visit the Fujifilm Store,Discount not found,Price not found,Stock info not found,4.6  4.6 out of 5 stars,,https://www.amazon.in/Fujifilm-Instax-Mini-Link-Starter/dp/B0CJVHD69R
"HPRT MT800Q Carbon Tape Printer Portable Printer Support 8.5"" X 11"" US Letter & A4 Paper Bluetooth Wireless Travel Printer Compatible with Android and iOS, Suitable for On The Go (White)","Visit the store, HPRT    HPRT   Visit the store","₹23,680","16,200",In stock,Rating not found,,https://www.amazon.in/HPRT-MT800Q-Portable-Bluetooth-Compatible/dp/B0BR7N2FLR
